profile	name	stics.name	unit	definition
annualTrees	carbonStem	NA	kg C	Carbon pool in tree stem
annualTrees	carbonStump	NA	kg C	Carbon pool in tree stump
annualTrees	carbonCoarseRoots	NA	kg C	Carbon pool in tree coarse roots
annualTrees	carbonFineRoots	NA	kg C	Carbon pool in tree fine roots
annualTrees	carbonLabile	NA	kg C	Carbon in tree labile pool
annualTrees	carbonFruit	NA	kg C	Carbon in tree fruit pool
annualTrees	waterUptakeAnnual	NA	liters	Water uptake annual
annualTrees	nitrogenUptakeAnnual	NA	kg N	Nitrogen uptake annual
annualTrees	parInterceptedAnnual	NA	Moles	PAR intercepted annual
annualTrees	interceptedRainAnnual	NA	liters	Water intercepted rain annual
annualTrees	carbonAllocToGrowthAnnual	NA	kg c	CarbonAllocToGrowth annual
annualTrees	carbonFoliageSenAnnual	NA	kg	carbonFoliageSenescence annual
annualTrees	carbonFineRootsSenAnnual	NA	kg C	Carbon fine roots annual senescent
annualTrees	carbonCoarseRootsSenAnnual	NA	kg C	Carbon coarse  roots annual senescent
annualTrees	carbonFineRootsSenAnoxiaAnnual	NA	kg C	Carbon fine roots annual senescent by anoxia
annualTrees	carbonCoarseRootsSenAnoxiaAnnual	NA	kg C	Carbon coarse  roots annual senescent by anoxia
annualCells	Date	NA	mm-dd-yyyy	Date
annualCells	Year	NA	calendar year	Year
annualCells	Month	NA	MM	Month
annualCells	Day	NA	DD	Day of the month
annualCells	JulianDay	NA	1-366	Julian day (day of year)
annualCells	idCell	NA	NA	A unique id number for each cell in the plot (starting in the top-left corner of the plot and then from -x to +x, y to -y)
annualCells	x	NA	m	The x-coordinate of the cell's corner closest to the plot's x-y origin (bottom-left corner of plot)
annualCells	y	NA	m	The y-coordinate of the cell's corner closest to the plot's x-y origin (bottom-left corner of plot)
annualCells	cropSpeciesName	NA	NA	Crop species name
annualCells	yieldMax	NA	t.ha-1	Maximum value of harvested yield (grain and hay) for the year
annualCells	heightMax	NA	 m	Maximum crop height for the year
annualCells	biomassMax	NA	 t.ha-1	Maximum crop biomass for the year
annualCells	laiMax	NA	m2 leaf m-2 soil	Maximum crop LAI for the year
annualCells	eaiMax	NA	m2 leaf m-2 soil	Maximum crop EAI for the year
annualCells	rootsDepthMax	NA	m	Maximum crop roots depth for the year
annualCells	cropMaxTemperature	NA	°C	Crop max temperature
annualCells	cropMinTemperature	NA	°C	Crop min temperature
annualCells	annualSoilEvaporation	NA	mm	annual evaporation
annualCells	annualCapillaryRise	NA	mm	annual capillary rise
annualCells	annualDrainageBottom	NA	mm	annual drainage bottom
annualCells	annualDrainageArtificial	NA	mm	annual drainage artificial
annualCells	annualIrrigation	NA	mm	annual irrigations
annualCells	annualRunOff	NA	mm	annual run off
annualCells	annualSurfaceRunOff	NA	mm	annual surface run off
annualCells	annualWaterDemand	NA	liters	annual water demad
annualCells	annualWaterUptakeByTrees	NA	mm	annual water uptake by trees
annualCells	annualWaterUptakeByCrop	NA	mm	annual water uptake by crop
annualCells	annualNitrogenDemand	NA	kg N ha-1	annual nitrogen demad
annualCells	annualNitrogenUptakeByTrees	NA	kg N ha-1	annual nitrogen extract by trees
annualCells	annualNitrogenUptakeByCrop	NA	kg N ha-1	annual nitrogen extract by crop
annualCells	annualNitrogenLeachingBottom	NA	kg N ha-1	annual nitrogen leached at the base of the soil profile
annualCells	annualNitrogenLeachingWaterTable	NA	kg N ha-1	annual nitrogen leached from water table
annualCells	annualDirectParIncident	NA	moles PAR m-2	Total annual direct PAR incident on the crop
annualCells	annualDiffuseParIncident	NA	moles PAR m-2	Total annual diffuse PAR incident on the crop
annualCells	annualDirectParIntercepted	NA	moles PAR m-2	Total annual direct PAR intercepted by the crop
annualCells	annualDiffuseParIntercepted	NA	moles PAR m-2	Total annual diffuse PAR intercepted by the crop
monthCells	Date	NA	mm-dd-yyyy	Date
monthCells	Year	NA	calendar year	Year
monthCells	Month	NA	MM	Month
monthCells	Day	NA	DD	Day of the month
monthCells	JulianDay	NA	1-366	Julian day (day of year)
monthCells	idCell	NA	NA	A unique id number for each cell in the plot (starting in the top-left corner of the plot and then from -x to +x, y to -y)
monthCells	x	NA	m	The x-coordinate of the cell's corner closest to the plot's x-y origin (bottom-left corner of plot)
monthCells	y	NA	m	The y-coordinate of the cell's corner closest to the plot's x-y origin (bottom-left corner of plot)
monthCells	monthYield	NA	t.ha-1	month Crop yield
monthCells	monthLai	NA	m2.m-2	month Lai
monthCells	monthEai	NA	m2.m-2	month Eai
monthCells	monthBiomass	NA	t ha-1	month Crop biomass
monthCells	monthDirectPar	NA	moles PAR m-2	Total monthly direct PAR in the sky
monthCells	monthDiffusePar	NA	moles PAR m-2	Total monthly diffuse PAR in the sky
monthCells	monthDirectParIntercepted	NA	moles PAR m-2	Total monthly direct PAR intercepted by the crop
monthCells	monthDiffuseParIntercepted	NA	moles PAR m-2	Total monthly diffuse PAR intercepted by the crop
monthCells	monthDirectParIncident	NA	moles PAR m-2	Total monthly direct PAR incident on the crop
monthCells	monthDiffuseParIncident	NA	moles PAR m-2	Total monthly diffuse PAR incident on the crop
monthCells	monthRelativeDirectParIncident	NA	%	Total monthly relative direct PAR incident on the crop
monthCells	monthRelativeDiffuseParIncident	NA	%	Total monthly relative diffuse PAR incident on the crop
monthCells	monthRelativeTotalParIncident	NA	%	Total monthly relative total PAR incident on the crop
monthCells	monthVisibleSky	NA	%	Total monthly percetage of sky that is unobstructed from the view of the crop
cells	Date	NA	mm-dd-yyyy	Date
cells	Year	NA	calendar year	Year
cells	Month	NA	MM	Month
cells	Day	NA	DD	Day of the month
cells	JulianDay	NA	1-366	Julian day (day of year)
cells	idCell	NA	NA	A unique id number for each cell in the plot (starting in the top-left corner of the plot and then from -x to +x, y to -y)
cells	x	NA	m	The x-coordinate of the cell's corner closest to the plot's x-y origin (bottom-left corner of plot)
cells	y	NA	m	The y-coordinate of the cell's corner closest to the plot's x-y origin (bottom-left corner of plot)
cells	cropSpeciesName	NA	NA	Crop species name
cells	cropAge	NA	years	Age of crop since sowing
cells	phenologicStageVegetative	NA	NA	Crop phenologic stage reproductive 1=snu 2=plt 3=dor 4=ger 5=lev 6=amf 7=lax 8=sen 9=lan 10=rec
cells	phenologicStageReproductive	NA	NA	Crop phenologic stage vegetative 1=snu 2=flo 3=drp 4=nou 5=des 6=mat 7=rec
cells	yield	NA	t ha-1	Harvested biomass of grain and hay
cells	biomass	NA	t ha-1	Total crop biomass, including grain/fruit biomass
cells	grainBiomass	NA	t ha-1	Crop grain yield at 0% moisture (converted from g m-2 in STICS output to t ha-1 within Hi-sAFe by dividing it by 100)
cells	tuberBiomass	NA	t ha-1	matuber
cells	fruitBiomass	NA	t ha-1	matfruit
cells	grainNumber	NA	NA	Grain number
cells	grainWeight	NA	g	Weight of one grain (at 0% water content) 
cells	grainGrowthRate	NA	t ha-1	Growth rate of the grains
cells	nitrogenGrain	NA	kg ha-1	Amount of nitrogen in harvested organs (grains / fruits)
cells	biomassIncrement	NA	t ha-1	Growth rate of the plant 
cells	height	NA	m	Height of crop canopy
cells	densite	NA	plants.m-2	Plant density
cells	rootsDepth	NA	m	Maximum crop roots depth 
cells	lai	NA	m2 leaf m-2 soil	Leaf area index
cells	eai	NA	m2 leaf m-2 soil	Equivalent leaf area index of the envelopes of reproductive organs
cells	sla	NA	cm2.g-1	Crop specific leaf area
cells	treeFineRootsLength	NA	m	Total fine roots length of all trees in this cell
cells	treeCarbonCoarseRoots	NA	kg C	Total coarse roots carbon of all trees in this cell
cells	cropTemperature	NA	degreesC	Crop leaf temperature
cells	soilSurfaceTemperature	NA	degreesC	Temperature of top soil horizon (layer)
cells	etpCalculated	NA	mm	Potential evapotranspiration (calculated via Penman method)
cells	hisafeWaterStomatalStress	NA	0-1	Index of stomatic water stress 
cells	hisafeWaterTurgescenceStress	NA	0-1	Index of turgescence water stress
cells	hisafeWaterSenescenceStress	NA	0-1	Index of senescence water stress
cells	sticsWaterStomatalStress	NA	0-1	Index of stomatal water stress  (1 = no stress)
cells	sticsWaterSenescenceStress	NA	0-1	Index of senescence water stress  (1 = no stress)
cells	sticsWaterTurgescenceStress	NA	0-1	Index of turgescence water stress (1 = no stress)
cells	hisafeNitrogenStress	NA	0-1	Nitrogen stress of the crop (calculated by Hisafe as uptake/demand) (1 = no stress)
cells	nitrogenNutritionIndex	NA	0-1	Nitrogen nutrition index (satisfaction of nitrogen needs )
cells	sticsNitrogenBiomassStress	NA	0-1	Index of nitrogen stress active on growth (LUE) in biomass (1 = no stress)
cells	sticsNitrogenLaiStress	NA	0-1	Index of nitrogen stress active on leaf growth (1 = no stress)
cells	sticsNitrogenSenescenceStress	NA	0-1	Index of nitrogen stress active on senescence (1 = no stress)
cells	tempStressLue	NA	0-1	Temperature-related EPSIBMAX reduction factor 
cells	tempStressGrainFilling	NA	0-1	tempStressGrainFilling
cells	frostStressPlantDensity	NA	0-1	Index of stress on plant density during the plantlet stage (1 = no stress)
cells	frostStressFoliage	NA	0-1	Index of stress on foliage during the juvenile (1 = no stress)
cells	frostStressReprod	NA	0-1	Index of stress on flowers and fruits (1 = no stress)
cells	visibleSky	NA	%	Percetage of sky that is unobstructed from the view of the crop
cells	totalParIncident	NA	moles PAR m-2	Radiation daily direct+diffuse incident PAR
cells	diffuseParIncident	NA	moles PAR m-2	Diffuse PAR incident on the crop
cells	directParIncident	NA	moles PAR m-2	Direct PAR incident on the crop
cells	totalParIntercepted	NA	moles PAR m-2	Radiation daily direct+diffuse intercepted PAR
cells	diffuseParIntercepted	NA	moles PAR m-2	Diffuse PAR intercepted by the crop
cells	directParIntercepted	NA	moles PAR m-2	Diffuse PAR intercepted by the crop
cells	relativeTotalParIncident	NA	%	Percentage of above-tree-canopy total PAR that is incident on the crop
cells	relativeDiffuseParIncident	NA	%	Percentage of above-tree-canopy diffuse PAR that is incident on the crop
cells	relativeDirectParIncident	NA	%	Percentage of above-tree-canopy direct PAR that is incident on the crop
cells	relativeGlobalRadIncident	NA	%	Percentage of above-tree-canopy global radiation that is incident on the crop
cells	actualWaterPotential	NA	cm	Crop water potential
cells	waterDemand	NA	mm	Water demand of the crop (maximum transpiration flux)
cells	waterDemandReduced	NA	mm	Crop water demand reduced
cells	waterUptakeByCrop	NA	mm	Water uptake by the crop
cells	waterUptakeByTrees	NA	mm	Water uptake by trees
cells	waterUptakePotential	NA	cm	Water uptake potential
cells	soilEvaporation	NA	mm	Water evaporated from soil
cells	mulchEvaporation	NA	mm	Water evaporated from rain that was intercepted by mulch on the soil surface
cells	waterUptakeInSaturationByTrees	NA	mm	Water uptake by trees from saturated voxels
cells	waterUptakeInSaturationByCrop	NA	mm	Water uptake by crop from saturated voxels
cells	rainInterceptedByTrees	NA	mm	Rain intercepted by tree canopies.
cells	rainInterceptedByCrop	NA	mm	Rain intercepted by crop canopy
cells	rainTransmittedByTrees	NA	mm	Rain transmitted (not intercepted) through tree canopies. Does not include stemflow.
cells	rainTransmittedByCrop	NA	mm	Rain transmitted (not intercepted) through crop canopy. Des not include stemflow.
cells	stemFlowByTrees	NA	mm	Flow of rain down tree stems (onto the cells where the trees are rooted)
cells	stemFlowByCrop	NA	mm	Flow of rain down crop stems (onto the cell where the crop is rooted)
cells	waterAddedByWaterTable	NA	mm	Water input to soil from rising water table (when a voxel becomes saturated, the water table adds water to a voxel in the amount of (fieldCapacity - waterContent)
cells	waterTakenByDesaturation	NA	mm	Water taken by water table to desaturated voxels
cells	irrigation	NA	mm	Water from irrigation
cells	capillaryRise	NA	mm	Capillary uptake in the base of the soil profile
cells	runOff	NA	mm	"The ""surface"" run-off associated with soil surface conditions plus the ""overflow"" runoff associated with saturation of the top soil layer and lack of infiltribility"
cells	drainageBottom	NA	mm	Water drained at the bottom of the soil profile
cells	drainageArtificial	NA	mm	Water drained into artificial drains
cells	surfaceRunOff	NA	mm	"The ""surface"" run-off associated with soil surface conditions (and not associated with saturation of the top soil layer and lack of infiltribility)"
cells	carbonMulch	NA	kgC.ha-1	Total C in mulch at soil surface
cells	carbonMulchTreeFoliage	NA	kgC.ha-1	Total C in mulch from tree foliage at soil surface
cells	mulchWaterStock	NA	mm	Water stock in the mulch
cells	mulchCoverRatio	NA	ratio	Proportion of soil surface covered by mulch
cells	mulchBiomass	NA	t.ha-1	Biomass of ALL mulch (accumulated litter from tree foliage, crops, and exogenous material) on the soil surface
cells	carbonResidus	NA	kgC.ha-1	carbonResidus
cells	carbonMicrobialBiomass	NA	kgC.ha-1	Amount of C in the microbial biomass decomposing organic residues mixed with soil 
cells	carbonMicrobialBiomassMulch	NA	kgC.ha-1	Amount of C in the microbial biomass decomposing organic residues at soil surface
cells	totalCarbonHumusStock	NA	kgC.ha-1	Total amount of carbon (active + inactive) in the soil humus pool 
cells	activeCarbonHumusStock	NA	kg C ha-1	Amount of active carbon in the soil humus pool 
cells	inactiveCarbonHumusStock	NA	kg C ha-1	Amount of inactive carbon in the soil humus pool 
cells	nitrogenDemand	NA	kgN.ha-1	Nitrogen demand of the crop
cells	nitrogenUptakeByCrop	NA	kgN.ha-1	Nitrogen uptake by the crop
cells	nitrogenUptakeByTrees	NA	kgN.ha-1	Nitrogen uptake by trees
cells	nitrogenUptakeInSaturationByTrees	NA	kg N ha-1	Nitrogen uptake by trees from saturated voxels
cells	nitrogenUptakeInSaturationByCrop	NA	kg N ha-1	Nitrogen uptake by crop from saturated voxels
cells	nitrogenRain	NA	kg N ha-1	Mineral nitrogen input to soil from rainfall 
cells	nitrogenRunOff	NA	kg N ha-1	Mean of mineral nitrogen in soil run off 
cells	nitrogenFertilisationMineral	NA	kg N ha-1	Mineral nitrogen applied to soil from mineral fertilizers and mineral fraction of organic fertilisers
cells	nitrogenFertilisationOrganic	NA	kg N ha-1	Organic nitrogen applied to soil from organic fertilisers
cells	nitrogenIrrigation	NA	kg N ha-1	Nitrogen input to soil from irrigation water
cells	nitrogenFixation	NA	kg N ha-1	Nitrogen input to soil from symbiotic fixation by crop nodules
cells	nitrogenVolatilisation	NA	kg N ha-1	Nitrogen lost via volatilisation of mineral fertiliser inputs
cells	nitrogenVolatilisationOrganic	NA	kg N ha-1	Nitrogen lost via volatilisation of organic fertiliser inputs
cells	nitrogenDenitrification	NA	kg N ha-1	Nitrogen lost via denitrification of fertiliser or within soil (if denitrification option is activated)
cells	nitrogenMulch	NA	kg N ha-1	Total N in mulch at soil surface
cells	totalNitrogenHumusStock	NA	kg N ha-1	Total amount of nitrogen (active + inactive) in the soil humus pool 
cells	activeNitrogenHumusStock	NA	kg N ha-1	Amount of active nitrogen in the soil humus pool 
cells	inactiveNitrogenHumusStock	NA	kg N ha-1	Amount of inactive nitrogen in the soil humus pool 
cells	nitrogenHumusMineralisation	NA	kg N ha-1	Mineral N input to soil derived from humus mineralisation
cells	nitrogenResiduMineralisation	NA	kg N ha-1	Mineral N input to soil derived from mineralisation of all organic residues
cells	nitrogenImmobilisation	NA	kg N ha-1	Nitrogen from fertilizer that is immobilized by soil bacteria
cells	cropNitrogenLeafLitter	NA	kgN.ha-1	Nitrogen input to soil from crop aerial litter
cells	cropNitrogenRootsLitter	NA	kgN.ha-1	Nitrogen input to soil from crop roots litter
cells	nitrogenResidus	NA	kg N ha-1	Nitrogen pool in all soil organic residues
cells	nitrogenMicrobialBiomass	NA	kg N ha-1	Amount of N remaining in the biomass decaying organic residues
cells	nitrogenMicrobialBiomassMulch	NA	kg N ha-1	amount of N in microbial biomass decomposing mulch
cells	nitrogenLeachingBottom	NA	kg N ha-1	NO3-N leached at the bottom of the soil profile
cells	nitrogenLeachingArtificial	NA	kg N ha-1	N-NO3 leached into artificial drains
cells	nitrogenLeachingWaterTable	NA	kg N ha-1	Nitrogen leached into the water table
cells	mineralNitrogenStock	NA	kg N ha-1	Soil mineral nitrogen stock (NH4 stock + NO3 stock)
cells	nitrogenAddedByWaterTable	NA	kg N ha-1	Nitrogen input to the soil from the water table
cells	nitrogenLossNitrification	NA	kg N ha-1	cumulated N2O emission
cells	nitrogenHarvested	NA	t.ha-1	Total of exported nitrogen
cells	biomassHarvested	NA	t ha-1	Total of exported carbon
cells	meanHisafeWaterStressVegetative	NA	NA	Mean of hisafe water stress between vegetative stages
cells	meanHisafeWaterStressReproductive	NA	NA	Mean of hisafe water stress between reprodutive stages
cells	meanHisafeNitrogenStressVegetative	NA	NA	Mean of hisafe nitrogen stress between vegetative stages
cells	meanHisafeNitrogenStressReproductive	NA	NA	Mean of hisafe nitrogen stress between reprodutive stages
cells	lueDay	NA	kg MS/mole PAR	Daily Light Use Efficiency (daily gain of Biomass per daily unit radiation intercepted)
cells	lueInt	NA	kg MS/mole PAR	Integrated Light Use Efficiency (Total biomass per total radiation intercepted since germination)
cells	wueDay	NA	g MS liter-1	Daily Water use Efficiency (daily gain of biomass per daily unit water transpired)
cells	wueInt	NA	g MS liter-1	Integrated Water Use Efficiency (Total Biomass per Total Water transpired since germination)
cells	fruitBiomass	NA	t ha-1	Total fruit biomass
cells	isTreeAbove	NA	NA	isTreeAbove
cells	nbrTreeAbove	NA	NA	nbrTreeAbove
cells	cropCarbonLeafLitter	NA	kgC.ha-1	Carbon input to soil from crop aerial litter
cells	cropCarbonRootsLitter	NA	kgC.ha-1	Carbon input to soil from crop roots litter
cells	treeCarbonFoliageLitter	NA	kg C ha-1	treeCarbonFoliageLitter
cells	treeCarbonBranchesLitter	NA	kg C ha-1	treeCarbonBranchesLitter
cells	treeCarbonFruitLitter	NA	kg C ha-1	treeCarbonFruitLitter
cells	treeCarbonFineRootsLitter	NA	kg C ha-1	treeCarbonFineRootsLitter
cells	treeCarbonCoarseRootsLitter	NA	kg C ha-1	treeCarbonCoarseRootsLitter
cells	treeNitrogenFoliageLitter	NA	kg N ha-1	treeNitrogenFoliageLitter
cells	treeNitrogenBranchesLitter	NA	kg N ha-1	treeNitrogenBranchesLitter
cells	treeNitrogenFruitLitter	NA	kg N ha-1	treeNitrogenFruitLitter
cells	treeNitrogenFineRootsLitter	NA	kg N ha-1	treeNitrogenFineRootsLitter
cells	treeNitrogenCoarseRootsLitter	NA	kg N ha-1	treeNitrogenCoarseRootsLitter
climate	Date	NA	mm-dd-yyyy	Date
climate	Year	NA	calendar year	Year
climate	Month	NA	MM	Month
climate	Day	NA	DD	Day of the month
climate	JulianDay	NA	1-366	Julian day (day of year)
climate	minTemperature	NA	degreesC	Minimum temperature of the air
climate	maxTemperature	NA	degreesC	Maximum temperature of the air
climate	minRelativeHumidity	NA	degreesC	Minimum relative humidity of the air
climate	maxRelativeHumidity	NA	degreesC	Maximum relative humidity of the air
climate	precipitation	NA	mm	Precipitation from input wth file
climate	rain	NA	mm	Precipitation minus any calculated to fall as snow
climate	snow	NA	mm	Precipitation calculated to fall as snow
climate	meltedSnow	NA	mm	Snow stocked on ground that melts
climate	stockedSnow	NA	mm	Snow stocked on the ground
climate	rainCapacityinSnow	NA	mm	Rain stock capacity within snow on the ground
climate	rainCapturedBySnow	NA	mm	Rain stocked within snow on the ground (i.e. rain that has fallen onto and been capture by preexisting snow)
climate	waterEnteringSoil	NA	mm	water Entering the Soil
climate	etpPenman	NA	mm	Potential evapotranspiration (calculated via Penman method)
climate	globalPar	NA	Moles m-2	Global PAR radiation
climate	globalRadiation	NA	MJ m-2	Global radiation
climate	diffusePar	NA	Moles m-2	Diffuse PAR radiation
climate	directPar	NA	Moles m-2	Direct PAR radiation
climate	extraTerrestrialRadiation	NA	MJ m-2	Extraterrestrial radiation
climate	infraRedRadiation	NA	W m-2	Infra-red radiation
climate	sunDeclination	NA	radian	Sun declination
climate	dayLength	NA	h	Day lenght
climate	airVapourPressure	NA	mbar	Air vapour pressure
climate	waterTableDepth	NA	m	Depth of water table below soil surface (negative values are in the downward direction)
climate	windSpeed	NA	m s-1	Wind speed
plot	Date	NA	mm-dd-yyyy	Date
plot	Day	NA	Dd	Day of the month
plot	Month	NA	MM	Month
plot	Year	NA	calendar year	Year
plot	JulianDay	NA	1-366	Julian day (day of year)
plot	idZone	NA	NA	Id of the crop zone
plot	name	NA	NA	Name of the crop zone
plot	totalCropBiomass	NA	t ha-1	Total biomass of the plot
plot	meanCropBiomass	NA	t ha-1	Mean biomass of the plot
plot	totalCropYield	NA	t ha-1	Total yield of the plot
plot	meanCropYield	NA	t ha-1	Mean yield of the plot
plot	totalCropLai	NA	m2 leaf m-2 soil	Total LAI of the plot
plot	meanCropLai	NA	m2 leaf m-2 soil	Mean LAI of the plot
plot	totalCropEai	NA	m2 leaf m-2 soil	Total EAI of the plot
plot	meanCropEai	NA	m2 leaf m-2 soil	Mean EAI of the plot
plot	totalCropHeight	NA	m	Mean canopy height in the plot
plot	meanCropHeight	NA	m	Mean canopy height in the plot
plot	meanCropGrainNumber	NA	nbr m-2	Mean of number of grains in the plot
plot	meanCropGrainWeight	NA	g	Mean of grain weight in the plot
plot	meanCropPlantDensity	NA	plants m-2	Mean of sowing density of the plot
plot	meanCropSla	NA	cm2 g-1	Mean of  Specific surface area of the plot
plot	meanCropTemperature	NA	degreesC	Mean crop surface temperature of the plot
plot	meanSoilSurfaceTemperature	NA	degreesC	Mean soil surface temperature of the plot
plot	meanCropRootsDepth	NA	m	Mean depth reached by roots system in the plot
plot	meanCropRootsLenght	NA	m	Mean Crop roots lenght of the plot
plot	meanCropQngrain	NA	kg N ha-1	Mean of nitrogen in harvested organs (grains / fruits) on the plot
plot	meanCropQnplante	NA	kg N ha-1	Mean of nitrogen taken up by the plant on the plot
plot	meanCropCngrain	NA	%	Mean of Nitrogen concentration of grains on the plot
plot	meanCropCnplante	NA	%	Mean of Nitrogen concentration of entire plant on the plot
plot	totalParIncident	NA	moles.m-2	Total PAR Incident on the plot
plot	meanParIncident	NA	moles.m-2	Mean PAR Incident on the plot
plot	totalParInterceptedByCrops	NA	moles PAR m-2	Total PAR Intercepted By Crops on the plot
plot	totalParInterceptedByTrees	NA	moles PAR m-2	Total PAR Intercepted By trees on the plot
plot	meanCropHisafeWaterStress	NA	NA	mainCropHisafeWaterStress
plot	meanCropHisafeNitrogenStress	NA	NA	mainCropHisafeNitrogenStress
plot	meanCropNitrogenLaiStress	NA	0-1	Mean Index of nitrogen stress active on leaf growth
plot	meanCropNitrogenBiomassStress	NA	0-1	Mean of Index of nitrogen stress active on growth in biomass
plot	meanCropNitrogenSenescenceStress	NA	0-1	Mean Index of nitrogen stress active on leaf death
plot	waterTableDepth	NA	m	Water table depth in the plot
plot	totalWaterStock	NA	liters	Total water stock in the plot 
plot	totalWaterUptakeByCrops	NA	liters	Total of water uptake by the crops in the plot
plot	totalWaterUptakeByTrees	NA	liters	Total of water uptake by the trees in the plot
plot	totalWaterUptakeInSaturationByCrops	NA	liters	Total of water uptake by the crops in saturated voxels of the plot
plot	totalWaterUptakeInSaturationByTrees	NA	liters	Total of water uptake by the trees in saturated voxels of the plot
plot	totalSoilEvaporation	NA	liters	Total of soil evaporation in the plot
plot	totalIrrigation	NA	liters	Total of irrigation in the plot
plot	totalRainTransmittedByCrops	NA	liters	Total of rain transmitted by the crops in the plot
plot	totalRainTransmittedByTrees	NA	liters	Total of rain transmitted by the trees in the plot
plot	totalRainInterceptedByCrops	NA	liters	Total of rain intercepted by the crops in the plot
plot	totalRainInterceptedByTrees	NA	liters	Total of rain intercepted by the trees in the plot
plot	totalCropsWaterDemand	NA	liters	Total of crops water demand in the plot
plot	totalCropsWaterDemandReduced	NA	liters	Total of crops water demand reduiced in the plot
plot	totalSurfaceRunOff	NA	liters	Total of surface runOff in the plot
