file	name	definition	unit	example	type	min	max	accepted	stics.name
SIM	treeCropRadius	"Radius around the tree, within which is interCrop and outside of which is mainCrop. If this distance does not end on a cell boundary, the distance is rounded up to the next cell boundary. The method using treeCropDistance takes priority - if treeCropDistance > 0, treeCropRadius is ignored."	m	0	real	0	NA	NA	NA
SIM	profileNames	Name of profiles to export	NA	"climate,plot,trees,cells, monthCells,roots,voxels"	character	NA	NA	NA	NA
SIM	exportFrequencies	Export frequencies for each profile	"1=each day, 30=each month, 365=each year"	1	integer	0	365	NA	NA
SIM	toricXp	Toric symetry of X axis in the positive direction	0 = off; 1 = on	0	integer	0	1	NA	NA
SIM	toricXn	Toric symetry of X axis in the negative direction	0 = off; 1 = on	0	integer	0	1	NA	NA
SIM	toricYp	Toric symetry of Y axis in the positive direction	0 = off; 1 = on	0	integer	0	1	NA	NA
SIM	toricYn	Toric symetry of Y axis in the negative direction	0 = off; 1 = on	0	integer	0	1	NA	NA
SIM	treePlantingYears	"Years in which tree planting occurs (separated by ,). Values are applied to trees in the order they are present in the tree initialization table. If extending from a .PRJ file, the year numbering continues from that base simulation!"	simulation year	"1,2"	integer	1	NA	NA	NA
SIM	treePlantingDays	"Days of year on which tree planting occurs (separated by ,). Values are applied to trees in the order they are present in the tree initialization table."	day of year	290290	integer	1	365	NA	NA
SIM	treePruningYears	"Years in which tree pruning occurs (separated by ,). If extending from a .PRJ file, the year numbering continues from that base simulation!"	simulation year	" 2,4,8,10,16"	integer	1	NA	NA	NA
SIM	treePruningDays	"Tree pruning days (separated by ,)"	DOY	"365,365,365,365,365"	integer	1	365	NA	NA
SIM	treePruningProp	"Proportion of tree height (bottom part of tree) on which branches are pruned (separated by ,)"	proportion	" 0.66,0.66,0.66,0.66,0.66"	real	0	1	NA	NA
SIM	treePruningMaxHeight	"Tree pruning maximum height (separated by ,)"	m	" 6.0,6.0,6.0,10.0,10.0"	real	0	NA	NA	NA
SIM	treeDensityReduction	"Proportion of branches & leaves that are removed (while keeping the crown volume constant) (separated by ,)"	proportion	" 0.5,0.5,0.5,0.5,0.5"	real	0	1	NA	NA
SIM	treeThinningIds	"Tree IDs to thin (separated by ,)"	tree id	1	integer	1	NA	NA	NA
SIM	treeThinningYears	"Years in which tree thinning occurs (separated by ,). If extending from a .PRJ file, the year numbering continues from that base simulation!"	simulation year	10	integer	1	NA	NA	NA
SIM	treeThinningDays	"Day on which tree thinning occurs (separated by ,)"	DOY	365	integer	1	364	NA	NA
SIM	treeRootPruningYears	"Years in which root pruning occurs (separated by ,). If extending from a .PRJ file, the year numbering continues from that base simulation!"	simulation year	1	integer	1	NA	NA	NA
SIM	treeRootPruningDays	"Days on which root pruning occurs (separated by ,)"	DOY	365	integer	1	365	NA	NA
SIM	treeRootPruningDistance	"Perpendicular horizontal distance from the tree row at which root pruning occurs (separated by ,)"	m	1.5	real	0	NA	NA	NA
SIM	treeRootPruningDepth	"Depth from soil surface to which root pruning occurs (separated by ,). Maximum value is the maximum soil depth. "	m	1	real	0	NA	NA	NA
SIM	treesLeafLitterIncorporated	"Toggle on/off for the incoproration of tree leaf litter into soil. If 1, tree leaf litter is incorporated into the soil and nutrient cycling dynamics. If 0, tree leaf litter disappears from the system."	0 = off; 1 = on	1	integer	0	1	NA	NA
SIM	treesRootLitterIncorporated	"Toggle on/off for the incoproration of shallow (above humificationDepth) tree root litter into soil. If 1, shallow tree root litter is incorporated into the soil and nutrient cycling dynamics. If 0, shallow tree root litter disappears from the system."	0 = off; 1 = on	1	integer	0	1	NA	NA
SIM	treesDeepRootLitterIncorporated	"Toggle on/off for the incoproration of deep (below humificationDepth) tree leaf root into soil. If 1, deep tree root litter is incorporated into the soil and nutrient cycling dynamics. If 0, deep tree root litter disappears from the system."	0 = off; 1 = on	1	integer	0	1	NA	NA
PLD	latitude	Latitude 	degrees (negative is south of equator)	45	real	-90	90	NA	latitude
PLD	elevation	Elevation above sea level	m	100	real	0	2000	NA	altisimul
PLD	cellWidth	Cell width 	m	1	real	0	NA	NA	NA
PLD	northOrientation	Orientation of North. The tree row is always parallel to the Y axis. 	degrees clockwise relative to the the +Y axis of the scene	90	real	0	359	NA	NA
PLD	plotHeight	Plot height (y).	m	100	real	0	NA	NA	NA
PLD	plotWidth	Plot width (x).	m	100	real	0	NA	NA	NA
PLD	slopeIntensity	Magnitude of the slope of the soil surface (only used by the light module)	degrees downward from horizontal	10	real	0	90	NA	NA
PLD	slopeAspect	Aspect of the slope of the soil surface (only used by the light module)	degrees clockwise from North that the slope goes downward	90	real	0	359	NA	NA
PLD	voxelThicknessMax	Maximum allowed thickness of a voxel when automatically splitting specified layers into voxels.	m	0.2	real	0	NA	NA	NA
PLD	humificationDepth	Depth of soil humification zone (soil depth with an active biological activity).	m	0.4	real	0.1	1.5	NA	profhum
PLD	albedo	Albedo for dry bare soil 	ratio	0.2	real	0.05	0.6	NA	albedo
PLD	cropRootObstruction	Soil depth at which CROP root growth is stopped due to physical constraints	m	3.2	real	0.1	10	NA	obstarac
PLD	ph	Initial soil pH (water solution). Applies to all soil layers.	unitless	8.4	real	4	9	NA	pH
PLD	swellingClaySoil	Toggle on/off the option to activiate an additional water compartment for swelling soils	0 = off; 1 = on	0	integer	0	1	NA	codefente
PLD	macroporosity	Toggle on/off the calculation of water flux in soil macroporosity	0 = off; 1 = on	0	integer	0	1	NA	codemacropor
PLD	soilCrustRainMin	Minimum amount of rain required to create a soil crust (inactive if the STICS vigueurbat parameter is equal to 1)	mm day-1	50	real	5	100	NA	pluiebat
PLD	soilCrustDepth	Mulch depth from which a crust occurs (inactive if the STICS vigueurbat parameter is equal to 1)	cm	0.5	real	0	2	NA	mulchbat
PLD	roughnessLength	Roughness length of bare soil	m	0.01	real	0.01	0.2	NA	z0solnu
PLD	soilHumusCN	Initial C to N ratio of soil organic matter from the surface down to the humificationDepth. Used to initialize soil organic carbon via organicNitrogen.	ratio	12.2	real	8	20	NA	CsurNsol
PLD	waterTable	Toggle on/off the inclusion of a water table 	0 = off; 1 = on	1	integer	0	1	NA	NA
PLD	evaporationValue	Cumulative soil evaporation above which evaporation rate is decreased 	mm	9	real	0	50	NA	q0
PLD	evaporationMaxDepth	Maximum soil depth affected by soil evaporation	cm	60	real	0	150	NA	zesx   
PLD	evaporationDepthContribution	Parameter defining the soil contribution to evaporation versus depth 	unitless	5	real	0.5	NA	NA	cfes
PLD	runOffCoefPlantMulch	Runoff coefficient taking account for plant mulch	unitless	0.33	real	0	5	NA	penterui
PLD	rainRunOffFraction	Run off fraction (relative to total rainfall) in bare soil 	ratio	0.2	real	0	1	NA	ruisolnu
PLD	capillary	Toggle on/off the inclusion of capillary rise at the base of the soil profile. Only used if macroporosity == 1 as well. 	0 = off; 1 = on	0	integer	0	1	NA	coderemontcap
PLD	capillaryUptake	Capillary rise upward water flux. Only used if capillary == 1 and macroporosity == 1.	mm day-1	1.2	real	0.1	20	NA	capiljour
PLD	capillaryUptakeMinWater	Threshold of soil gravimetric water content under which capillary rise occurs. Only used if capillary == 1 and macroporosity == 1.	g water / g soil	0.3	real	0	10	NA	humcapil
PLD	artificialDrainage	Toggle on/off the inclusion of artificial drainage (pipes).  Only used if macroporosity == 1 as well.	0 = off; 1 = on	0	integer	0	1	NA	codrainage
PLD	drainagePipesSpacing	Spacing between artificial drainage pipes. Only used if artificialDrainage == 1 and macroporosity == 1.	m	25	real	1	50	NA	ecartdrain
PLD	drainagePipesDepth	Depth (from the soil surface) of artificial drainage pipes. Only used if artificialDrainage == 1 and macroporosity == 1.	m	1	real	0.2	2	NA	profdrain
PLD	waterConductivity	Soil hydraulic conductivity in the vicinity of artificial drainage pipes (for water moving into drainage pipes). Only used if artificialDrainage == 1 and macroporosity == 1.	unitless	0.5	real	0.0001	1	NA	Ksol
PLD	impermeableLayerDepth	Upper depth of the impermeable layer (from the soil surface). May be greater than the soil depth. Only used if artificialDrainage == 1 and macroporosity == 1.	m	2	real	5	20	NA	profimper
PLD	organicNitrogen	Initial soil organic N content in the soil layer from the surface down to humificationDepth.	% of fine soil	0.13	real	0	100	-	Norg
PLD	minNo3Concentration	Soil minimum NO3 concentration 	kg N ha-1 mm-1	0	real	0	0.5	NA	concseuil
PLD	nitrification	"Toggle on/off the calculation of nitrification. If true, nitrification is calculated daily. If false, all NH4 is assumed to be nitrified to NO3 each day."	0 = off; 1 = on	1	integer	0	1	NA	codenitrif
PLD	denitrification	Toggle on/off to activate a more mechanistic calculation of denitrification via the NEMIS model.	0 = off; 1 = on	0	integer	0	1	NA	codedenit
PLD	denitrificationDepth	Soil depth on which denitrification is active. Only used if denitrification == 1.	cm	20	real	10	40	NA	profdenit
PLD	denitrificationRate	Potential rate of denitrification for the whole denitrifying layer. Only used if denitrification == 1.	kg N ha-1 day-1	16	real	0.3	10	NA	vpotdenit
PLD	no3ConcentrationInWaterTable	Fixed concentraiton of NO3 in water table. Only used if waterTable == 1.	g L-1	0.00009	real	0	NA	NA	NA
PLD	nh4ConcentrationInWaterTable	Fixed concentraiton of NH4 in water table. Only used if waterTable == 1.	g L-1	0.00168	real	0	NA	NA	NA
PLD	thick	Layer thickness	m	0.2	real	0.01	10	NA	epc
PLD	sand	Sand content of soil layer (MUST INCLUDE DECIMAL AND AT LEAST ONE NUMBER AFTER DECIMAL)	% of fine soil	25.5	real	0	100	NA	NA
PLD	clay	Clay content of soil layer (MUST INCLUDE DECIMAL AND AT LEAST ONE NUMBER AFTER DECIMAL)	% of fine soil	25.5	real	0	100	NA	NA
PLD	limestone	Limestone content of soil layer (MUST INCLUDE DECIMAL AND AT LEAST ONE NUMBER AFTER DECIMAL)	% of fine soil	10.5	real	0	100	NA	NA
PLD	organicMatter	Organic matter content of soil layer. This is only used for the calculation of bulk density. It is NOT used to initialize soil carbon content. (MUST INCLUDE DECIMAL AND AT LEAST ONE NUMBER AFTER DECIMAL)	% of fine soil	3.5	real	0	100	NA	NA
PLD	partSizeSand	Particle size of sand 	micrometers	290	real	0	NA	NA	NA
PLD	stone	Stone content of soil layer	% by volume of bulk soil	5.5	real	0	100	NA	cailloux
PLD	stoneType	Stone type. This affects the density of the stone and it's water absorption capacity. 	"1=limestone B1, 2=limestone B2, 3=limestone L, 4=scree L, 5=gravel m, 6=flint, 7=granite a, 8=limestone J, 9=other1, 10=other2"	6	integer	1	10	NA	typecailloux
PLD	infiltrability	"Infiltrability rate at the base of each soil layer. Only used if macroporosity == 1. To simulate a layer that is impermeable to water fluxes, this value can be set very low."	mm day-1	5.00E+01	real	0.1	100	NA	infil
PLD	waterContent	Initial water content of soil layer (in fine soil)	ratio	0.2	real	0	1	NA	Hinitf
PLD	no3Concentration	Initial NO3-N concentration of soil layer (in fine soil)	kg N ha-1	30	real	0	200	NA	NO3initf
PLD	nh4concentration	Initial NH4-N concentration of soil layer (in fine soil)	kg N ha-1	0	real	0	200	NA	NH4initf
PLD	species	"Tree species name. This must patch the name of the .tree file, but does not include "".tree"" here."	NA	hybrid-walnut	character	NA	NA	NA	NA
PLD	height	Initial tree height	m	1	real	0	NA	NA	NA
PLD	crownBaseHeight	Initial crown base height	m	0.5	real	0	NA	NA	NA
PLD	leafToFineRootsRatio	Initial ratio of leaf to fine root biomass	kg kg-1	0.5	real	0	NA	NA	NA
PLD	crownRadius	Initial crown radius (in both the x and y directions)	m	0.25	real	0	NA	NA	NA
PLD	treeX	"Tree position on scene X-axis. If (0,0) is used for treeX and treeY, the tree is instead automatically palced at the X,Y CENTER of the scene. Trees must be planted in the center of a cell. Only one tree can be planted in each cell."	"m (from plot X,Y origin at the bottom-left of the plot)"	0	real	0	NA	NA	NA
PLD	treeY	"Tree position on scene Y-axis. If (0,0) is used for treeX and treeY, the tree is instead automatically palced at the X,Y CENTER of the scene. Trees must be planted in the center of a cell. Only one tree can be planted in each cell."	"m (from plot X,Y origin at the bottom-left of the plot)"	0	real	0	NA	NA	NA
PLD	shape	Initial shape of tree root volume. A set of voxels are selected to include initial root biomass using this shape. 	1=Sphere; 2=Ellipsoid; 3=Cone	1	integer	1	3	NA	NA
PLD	repartition	Method for initial allocation of fine root biomass among the voxels selected for root initialization via the shape parameter.	1=Uniform; 2=Inverse proportional to distance; 3=Negative exponential	3.00E+00	integer	1	3	NA	NA
PLD	paramShape1	Parameter 1 for root initialization. For Sphere: radius of sphere. For Ellipsoid: radius of ellipsoid in X direction. For Cone: radius of cone base.	m	0.75	real	0	NA	NA	NA
PLD	paramShape2	Parameter 2 for root initialization. For Sphere: NOT USED. For Ellipsoid: radius of ellipsoid in Y direction. For Cone: depth of cone.	m	0	real	0	NA	NA	NA
PLD	paramShape3	Parameter 3 for root initialization. For Sphere: NOT USED. For Ellipsoid: radius of ellipsoid in Z direction. For Cone: NOT USED.	m	0	real	0	NA	NA	NA
HISAFE	diffuseCoeffA	Used in the calculation of daily diffuse radiation via: DiffusePar == GlobalPar * (a - b * GlobalRadiation/ExtraterrestrialRadiation)	unitless	1.2	real	NA	NA	NA	NA
HISAFE	diffuseCoeffB	Used in the calculation of daily diffuse radiation via: DiffusePar == GlobalPar * (a - b * GlobalRadiation/ExtraterrestrialRadiation)	unitless	1.3	real	NA	NA	NA	NA
HISAFE	SOC	Standard Overcast Sky. Must turn this on OR UOC.	0 = off; 1 = on	0	integer	0	1	NA	NA
HISAFE	UOC	Uniform Overcast Sky. Must turn this on OR SOC.	0 = off; 1 = on	0	integer	0	1	NA	NA
HISAFE	turtleOption	"If 1, use the Turtle Option (diffuse beams). If 0, use the direct beam option with temporal discretisation. Turtle option is faster, but less accurate. "	0 = off; 1 = on	0	integer	0	1	NA	NA
HISAFE	cropLightMethod	"Toggle for selecting which light module to use. If 0, light is calculated by STICS. If 1, light is calculated by Hi-sAFe. MUST BE 1 FOR Hi-sAFe TO WORK."	0 = off; 1 = on	0	integer	0	1	NA	NA
HISAFE	timeStep	Number of hours between two calculations of the sun's position. Only used if turtleOption == 0.	hours	0.5	real	0	24	NA	NA
HISAFE	nbTimeStepMax	"Maximum number of time step calculation per day. If the number of time steps calculated using timeStep is greater than this value, then this maximum value is used instead. Only used if turtleOption == 0."	NA	100	integer	0	NA	NA	NA
HISAFE	diffuseAngleStep	Angle step between two beams. Only used if turtleOption == 0.	degrees	15	real	0	180	NA	NA
HISAFE	declinationThreshold	"The threshold change in sun declination that triggers a recalculation of the light module. If the sun declincation does not change by more than this threshold, then the light module calculations from the previous day are used. "	degrees	2	real	0	180	NA	NA
HISAFE	leafAreaThreshold	"The threshold change in tree leaf area that triggers a recalculation of the light module. If the tree leaf area does not change by more than this threshold, then the light module calculations from the previous day are used. "	%	5	real	0	100	NA	NA
HISAFE	nbImpactMultiplication	Specifies the number of rays that are traced to each cell.	1: 1; 2: 4; 3: 9	3	integer	1	3	NA	NA
HISAFE	parGlobalCoefficient	Coefficient to convert GLOBAL radiation to PAR (PAR == parGlobalCoefficient  * RG)	ratio	0.48	real	0	1	NA	NA
HISAFE	molesParCoefficient	Coefficient to convert Moles to MJ (1 Mole == 0.217 MJ). Approximation by photosyn assistant (Dundee Scientific Ltd).	MJ mol-1	0.217	real	NA	NA	NA	NA
HISAFE	aangst	Angstrom coefficients for calculating insolation	unitless	0.18	real	0.0001	0.9	NA	aangst
HISAFE	bangst	Angstrom coefficients for calculating insolation	unitless	0.62	real	0	1	NA	bangst
HISAFE	priestleyTaylorCoeff	Priestley-Taylor Coefficient	unitless	1.26	real	1	2	NA	alphapt
HISAFE	sigma	Stefan-Boltzman constant	W m-2 T-4	5.67E-08	real	NA	NA	NA	NA
HISAFE	gamma	Psychrometric constant	mbar degreeC-1	0.65	real	NA	NA	NA	NA
HISAFE	integrationStep	Used in calculation of Phi_pF.	NA	0.1	real	NA	NA	NA	NA
HISAFE	maxPhiPF	Used in calculation of Phi_pF.	NA	6	real	NA	NA	NA	NA
HISAFE	maxTempSnow	Rain is transformed to snow when Tmax is less than this value.	degreeC	3	real	NA	NA	NA	NA
HISAFE	minTempSnow	Rain is transformed to snow when Tavg is less than this value.	degreeC	0	real	NA	NA	NA	NA
HISAFE	maxDailySnowMelt	Maximum amount of snow that can melt each day.	mm	10	real	0	NA	NA	NA
HISAFE	maxTempSnowMelt	Snow melt occurs at a rate of maxDailySnowMelt mm per day when Tavg is this value.	degreeC	10	real	NA	NA	NA	NA
HISAFE	minTempSnowMelt	Snow melt does not occur when Tavg is below this value.	degreeC	2	real	NA	NA	NA	NA
HISAFE	sticsWaterExtraction	Code to select which water module to use for the CROP.	0 = Hi-sAFe; 1 = STICS	0	integer	0	1.00E+00	NA	NA
HISAFE	laiFileName	Name of file for daily crop LAI forcing (for water extraction calibration). Should be commented out unless it is intended for use.	NA	 lai.obs	character	NA	NA	NA	NA
HISAFE	nitrogenDiffusionConstant	"Nitrogen diffusion constant. Used in: nitrogenDiffusionFactor = theta * max(theta, theta * nitrogenEffectiveDiffusionA1 + nitrogenEffectiveDiffusionA0)"	cm2 day-1	1	real	0	NA	NA	NA
HISAFE	nitrogenEffectiveDiffusionA0	"Nitrogen Effective Diffusion A0 .Used in: nitrogenDiffusionFactor = theta * max(theta, theta * nitrogenEffectiveDiffusionA1 + nitrogenEffectiveDiffusionA0)"	unitless	-0.011	real	NA	NA	NA	NA
HISAFE	nitrogenEffectiveDiffusionA1	"Nitrogen Effective Diffusion A1. Used in: nitrogenDiffusionFactor = theta * max(theta, theta * nitrogenEffectiveDiffusionA1 + nitrogenEffectiveDiffusionA0)"	unitless	0.15	real	NA	NA	NA	NA
HISAFE	no3AbsorptionConstant	NO3 Absorption Constant. Used in: absorptionConstant = ((no3AbsorptionConstant + theta) * (nh4AbsorptionConstant + theta)) / (no3AbsorptionConstant + theta + no3Fraction  * (nh4AbsorptionConstant - no3AbsorptionConstant)) - theta	unitless	0.3	real	NA	NA	NA	NA
HISAFE	nh4AbsorptionConstant	NH4 Absorption Constant. Used in: absorptionConstant = ((no3AbsorptionConstant + theta) * (nh4AbsorptionConstant + theta)) / (no3AbsorptionConstant + theta + no3Fraction  * (nh4AbsorptionConstant - no3AbsorptionConstant)) - theta	unitless	5	real	NA	NA	NA	NA
HISAFE	no3Fraction	Fraction of NO3. Used in: absorptionConstant = ((no3AbsorptionConstant + theta) * (nh4AbsorptionConstant + theta)) / (no3AbsorptionConstant + theta + no3Fraction  * (nh4AbsorptionConstant - no3AbsorptionConstant)) - theta	unitless	0.6	real	NA	NA	NA	NA
HISAFE	fmin1	Relative potential mineralization rate in deep mineralizatio module: K2 = fmin1 * exp(-fmin2*argi) / (1+fmin3*calc)	d-1	0.65	real	0	1	NA	fmin1
HISAFE	fmin2	Parameter defining the effect of clay on the potential mineralization rate in deep mineralizatio module: K2 = fmin1 * exp(-fmin2*argi) / (1+fmin3*calc)	-1%	11	real	0	1	NA	fmin2
HISAFE	fmin3	Parameter defining the effect of CaCO3 on the potential mineralization rate in deep mineralizatio module: K2 = fmin1 * exp(-fmin2*argi) / (1+fmin3*calc)	-1%	60	real	0	1	NA	fmin3
HISAFE	aclim	climatic component of A to calculate actual soil evaporation	mm	20	real	4	25	NA	aclim
HISAFE	aks	parameter of calculation of the energetic loss between the inside and the outside of a greenhouse 	W m-2 K-1	6	real	0.01	1.00E+02	NA	aks
HISAFE	albveg	albedo of the vegetation	unitless	0.23	real	0.05	0.3	NA	albveg
HISAFE	altinversion	altitude of inversion of the thermal gradient	m	500	real	0	2000	NA	altinversion
HISAFE	altistation	altitude of the input metorological station 	m	130	real	0	2.00E+03	NA	altistation
HISAFE	bks	parameter of calculation of the energetic lost between the inside and the outside of a greenhouse 	W m-2 K-1	0.5	real	0	1.00E+02	NA	bks
HISAFE	cielclair	fraction of sunny hours allowing the inversion of thermal gradient with altitude	unitless	0.8	real	0	1	NA	cielclair
HISAFE	codadret	option to calculate mountain climate taking into account the orientation 	code 1/2; 1 = south	1	integer	1	2	NA	codadret
HISAFE	codaltitude	option to activate the calculation of the climate in altitude 	"1 = no, 2 = yes"	1	integer	1	2	NA	codaltitude
HISAFE	codecaltemp	option to activate the use of crop temperature for phasic development calculation 	"1 = empirical relation, 2 = energy balance"	1	integer	1	2.00E+00	NA	codecaltemp
HISAFE	codeclichange	option to activate climate change 	"1 = no, 2 =yes"	1	integer	1	2.00E+00	NA	codeclichange
HISAFE	codeetp	Option for the method of calculating PET. THIS MUST BE 1 FOR HI-AFE TO WORK.	"1 = forced Penman, 2 = calculated Penman, 3= Shuttleworth & Wallace, 4 = Priestley & Taylor"	1	integer	1	1	NA	codeetp
HISAFE	codernet	option of calculation of net radiation 	"1 = Brunt's method, 2 = Cellier's method"	1	integer	1	2	NA	codernet
HISAFE	coefdevil	multiplier coefficient of the exterior radiation to compute PET inside of a greenhouse	unitless	0.7	real	0.3	1.2	NA	coefdevil
HISAFE	coefrnet	coefficient of calculation of the net radiation under greenhouse	unitless	0.59	real	0.001	1	NA	coefrnet
HISAFE	corecTrosee	temperature to substract to Tmin to estimate dew point temperature (in case of missing air humidity data)	degreeC	1	real	-5	5	NA	corecTrosee
HISAFE	cvent	parameter of the climate calculation under the shelter	unitless	0.16	real	0.001	1	NA	cvent
HISAFE	gradtn	thermal gradient in altitude for minimal temperatures 	degreeC m-1	-0.5	real	-1	3	NA	gradtn
HISAFE	gradtninv	thermal gradient in altitude for minimal temperatures under the inversion level	degreeC m-1	1.3	real	0.1	3	NA	gradtninv
HISAFE	gradtx	thermal gradient in altitude for maximal temperatures 	degreeC m-1	-0.55	real	-1	3	NA	gradtx
HISAFE	NH3ref	NH3 concentration in the atmosphere	microg m-3	0	real	0	10	NA	NH3ref
HISAFE	ombragetx	change in air temperature in the northern hillslope of mountains (activated if codadret=2)	degreeC	-1.4	real	-5	5	NA	ombragetx
HISAFE	patm	atmospheric pressure	mbar	1000	real	800	1200	NA	patm
HISAFE	ra	aerodynamic resistance (used in volatilization module when we use ETP approach)	s m-1	50	real	10	70	NA	ra
HISAFE	zr	reference height of meteorological data measurement	m	2.5	real	2	10	NA	zr
HISAFE	phiv0	parameter allowing the calculation of the climate under shelter	unitless	0.004	real	0	0.01	NA	phiv0
STICS	ahres	parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres)	g g-1		real	0	500	NA	ahres
STICS	akres	parameter of organic residues decomposition: kres=akres+bkres/CsurNres	d-1		real	0	1000	NA	akres
STICS	albedomulchresidus	albedo of crop mulch	unitless		real	0.05	0.8	NA	albedomulchresidus
STICS	alphapH	maximal soil pH variation per unit of inorganic N added with slurry	kg-1 ha		real	0.001	0.02	NA	alphapH
STICS	an_debut_serie_histo	beginning year for the calculation of moving average temperature on period_adapt_CC	y		integer	0	3000	NA	an_debut_serie_histo
STICS	an_fin_serie_histo	ending year for the calculation of moving average temperature on period_adapt_CC	y		integer	0	3000	NA	an_fin_serie_histo
STICS	awb	parameter determining C/N ratio of biomass during organic residues decomposition: CsurNbio=awb+bwb/CsurNres	unitless		real	0	500	NA	awb
STICS	beta	parameter of increase of maximal transpiration when a water stress occurs 	unitless		real	1	2	NA	beta
STICS	bformnappe	coefficient for the water table shape (artificially drained soil)	unitless		real	0	1	NA	bformnappe
STICS	bhres	parameter of organic residues humification: hres=1-ahres*CsurNres/(bhres+CsurNres)	g g-1		real	0	10000	NA	bhres
STICS	bkres	potential rate of decomposition of organic residues: kres=akres+bkres/CsurNres	g g-1		real	-5	1000	NA	bkres
STICS	bwb	parameter determining C/N ratio of biomass during organic residues decomposition: CsurNbio=awb+bwb/CsurNres	g g-1		real	-2500	0	NA	bwb
STICS	CNresmax	maximum value of C/N ratio of organic residue	g g-1		real	3	200	NA	CNresmax
STICS	CNresmin	minimum value of C/N ratio of organic residue	g g-1		real	3	200	NA	CNresmin
STICS	code_adapt_MO_CC	option to activate adaptation of organic matter decomposition to climate change 	"1 = yes, 2 = no"		NA	NA	NA	NA	code_adapt_MO_CC
STICS	code_adaptCC_denit	option to activate the impact of climate change on denitrification rate (trefdenit1 and trefdenit2) 	"1 = yes, 2 = no"		NA	NA	NA	NA	code_adaptCC_denit
STICS	code_adaptCC_miner	option to activate the impact of climate change on soil mineralisation rate (trefh and trefr) 	"1 = yes, 2 = no"		NA	NA	NA	NA	code_adaptCC_miner
STICS	code_adaptCC_nit	"option to activate the impact of climate change on soil nitrification rate (tnitmin, tnitmax, tnitopt) "	"1 = yes, 2 = no"		NA	NA	NA	NA	code_adaptCC_nit
STICS	codeactimulch	option to activate the natural mulch effect i.e. drying out of soil surface 	"1 = yes, 2 = no"		NA	NA	NA	NA	codeactimulch
STICS	codecalferti	option to activate the automatic calculation of fertilisation rate 	"1 = yes, 2 = no"		NA	NA	NA	NA	codecalferti
STICS	codedyntalle	option to activate the module simulating tillers dynamics 	"1 = yes, 2 = no"		NA	NA	NA	NA	codedyntalle
STICS	codefrmur	code defining the maturity status of the fruits in the output  variable CHARGEFRUIT	 1 = including ripe fruits (last box N) 2 = excluding ripe fruits (first N-1 boxes)		NA	NA	NA	NA	codefrmur
STICS	codefxn	option defining the effect of soil nitrate on N fixation	"1 = no effect 2 = effect of nitrate amount, 3 = effect of nitrate concentration"		NA	NA	NA	NA	codefxn
STICS	codeh2oact	option to activate water stress effect on the crop 	"1 = yes, 2 = no"		NA	NA	NA	NA	codeh2oact
