#subject	order	variable	frenchUnity	englishUnity	frenchDescription	englishDescription		
SafeCell	1	nitrogenDemand	kgN.ha-1	kgN.ha-1	Azote demandée par la culture	Crop nitrogen demand		
SafeCell	1	nitrogenUptake	kgN.ha-1	kgN.ha-1	Azote extraite par la culture	Crop nitrogen uptake
SafeCell	1	hisafeWaterStress	-	-	Stress eau calculé par hisafe	Crop Water stress (hisafe)		
SafeCell	1	hisafeNitrogenStress	-	-	Stress azote calculé par hisafe	Crop Nitrogen stress (hisafe)
SafeCell	1	sticsNitrogenStress	-	-	sticsNitrogenStress (inn)	sticsNitrogenStress (inn)
SafeCell	1	sticsNitrogenBiomassStress	-	-	sticsNitrogenBiomassStress (inns)	sticsNitrogenBiomassStress (inns)
SafeCell	1	sticsNitrogenLaiStress	-	-	sticsNitrogenLaiStress (innlai)	sticsNitrogenLaiStress (innlai)
SafeCell	1	sticsNitrogenSenescenceStress	-	-	sticsNitrogenSenescenceStress (innsenes)	sticsNitrogenSenescenceStress (innsenes)
SafeCell	1	sticsWaterStomatalStress	-	-	sticsWaterStomatalStress (swfac)	sticsWaterStomatalStress (swfac)
SafeCell	1	sticsWaterSenescenceStress	-	-	sticsWaterSenescenceStress (senfac)	sticsWaterSenescenceStress (senfac)
SafeCell	1	sticsWaterTurgescenceStress	-	-	sticsWaterTurgescenceStress (turfac)	sticsWaterTurgescenceStress (turfac)
SafeMacroClimat	1	minTemperature	°	°	Température min	a-Min temperature
SafeMacroClimat	2	maxTemperature	°	°	Température max	b-Max temperature
SafeMacroClimat	3	minRelativeHumidity	°	°	Humidité relative min	c-Min relative humidity
SafeMacroClimat	4	maxRelativeHumidity	°	°	Humidité relative max	d-Max relative humidity
SafeMacroClimat	5	precipitation	mm	mm	Précipitations	e-Precipitations
SafeMacroClimat	6	rain	mm	mm	Pluie	f-Rain
SafeMacroClimat	7	snow	mm	mm	Neige	g-Snow
SafeMacroClimat	8	meltedSnow	mm	mm	Neige fondue	h-Melted snow
SafeMacroClimat	9	stockedSnow	mm	mm	Neige stockée	i-Stocked snow
SafeMacroClimat	10	rainCapacityinSnow	mm	mm	Capacité de pluie stockée dans la neige	j-Rain capacity stocked in snow
SafeMacroClimat	11	etpPenman	mm	mm	etpPenman	k-etpPenman
SafeMacroClimat	12	globalPar	Moles m-2	Moles m-2	Rayonnement PAR global	l-Global PAR radiation	
SafeMacroClimat	13	globalRadiation	MJ m-2	MJ m-2	Rayonnement global	m-Global radiation
SafeMacroClimat	14	diffusePar	Moles m-2	Moles m-2	Rayonnement PAR diffus	n-Diffuse PAR radiation		
SafeMacroClimat	15	directPar	Moles m-2	Moles m-2	Rayonnement PAR direct	o-Direct PAR radiation				
SafeMacroClimat	16	extraTerrestrialRadiation	MJ m-2	MJ m-2	Rayonnement extraterrestre	p-Extraterrestrial radiation				
SafeMacroClimat	17	infraRedRadiation	W m-2	W m-2	Rayonnement infra-rouge	q-Infra-red radiation		
SafeMacroClimat	18	sunDeclination	radian	radian	Inclinaison du soleil	r-Sun declination		
SafeMacroClimat	19	dayLength	h	h	Longueur du jour	s-Day lenght
SafeMacroClimat	20	airVpd	mbar	mbar	Deficit de pression de vapeur 	t-Vapour pressure deficit  of the air
SafeMacroClimat	21	airVapourPressureSat	mbar	mbar	Pression de vapeur saturante	u-Air vapour pressure saturated	
SafeMacroClimat	22	airVapourPressure	mbar	mbar	Pression de vapeur	v-Air vapour pressure		
SafeMacroClimat	23	waterTableDepth	m	m	Profondeur de la nappe	w-Water table depth		
SafeMacroClimat	24	windSpeed	m s-1	m s-1	Vitesse du vent	x-Wind speed
SafePlot	1	mainCropName	-	-	Main crop name	aa-Culture principale			
SafePlot	1	cropBiomass	Kg.(m2 of plot)-1	-	cropBiomass	ab-Biomasse culture		
SafePlot	1	minCropBiomass	Kg.(m2 of crop)-1	-	minCropBiomass	ac-Biomasse culture min		
SafePlot	1	maxCropBiomass	Kg.(m2 of crop)-1	-	maxCropBiomass	ac-Biomasse culture max			
SafePlot	1	cropYield	t/ha	-	cropYield	ad-Rendement culture		
SafePlot	1	minCropYield	t/ha	-	minCropYield	ae-Rendement culture min		
SafePlot	1	maxCropYield	t/ha	-	maxCropYield	ae-Rendement culture max		
SafePlot	1	cropLai	m2.(m2 of plot)-1	-	cropLai	af-Lai culture		
SafePlot	1	minCropLai	m2.(m2 of crop)-1	-	minCropLai	ag-Lai culture min		
SafePlot	1	maxCropLai	m2.(m2 of crop)-1	-	maxCropLai	ah-Lai culture max		
SafePlot	1	treeLai	-	-	TreeLai	ai-Lai arbres		
SafePlot	1	treePhenologicStage	-	-	treePhenologicStage	aj-Phenologie arbre		
SafePlot	1	treeYield	t.ha-1	t.ha-1	treeYield	ak-Rendement arbres		
SafePlot	1	treeWaterStress	-	-	TreeWaterStress	TreeWaterStress		
SafePlot	1	treeBiomassIncrement	kg/ha	kg/ha	treeBiomassIncrement	treeBiomassIncrement		
SafePlot	1	carbonBranches	kg/ha	kg/ha	carbonBranches	carbonBranches		
SafePlot	1	nitrogenBranches	kg/ha	kg/ha	nitrogenBranches	nitrogenBranches
SafePlot	1	waterExtractedInSaturationByCrops	mm	mm	waterExtractedInSaturationByCrops	waterExtractedInSaturationByCrops		
SafePlot	1	waterExtractedInSaturationByInterCrops	mm	mm	waterExtractedInSaturationByInterCrops	waterExtractedInSaturationByInterCrops		
SafePlot	1	waterExtractedInSaturationByTrees	mm	mm	waterExtractedInSaturationByTrees	waterExtractedInSaturationByTrees		
SafePlot	1	nitrogenExtractedInSaturationByTrees	mm	mm	nitrogenExtractedInSaturationByTrees	nitrogenExtractedInSaturationByTrees		
SafePlot	1	nitrogenExtractedInSaturationByCrops	mm	mm	nitrogenExtractedInSaturationByCrops	nitrogenExtractedInSaturationByCrops		
SafePlot	1	waterStock	mm	mm	WaterStock	WaterStock		
SafePlot	1	maximalWaterStock	mm	mm	MaximalWaterStock	MaximalWaterStock		
SafePlot	1	waterStockAvalaibleForTrees	mm	mm	WaterStockAvalaibleForTrees	WaterStockAvalaibleForTrees		
SafePlot	1	waterStockAvalaibleForCrops	mm	mm	WaterStockAvalaibleForCrops	WaterStockAvalaibleForCrops		
SafePlot	1	waterStockAvalaibleForBoth	mm	mm	WaterStockAvalaibleForBoth	WaterStockAvalaibleForBoth		
SafePlot	1	waterStockInSaturation	mm	mm	WaterStockInSaturation	WaterStockInSaturation		
SafePlot	1	waterTableDepth	m	m	WaterTableDepth	WaterTableDepth		
SafePlot	1	waterExtractedByTrees	mm	mm	WaterExtractedByTrees	WaterExtractedByTrees		
SafePlot	1	waterExtractedByCrops	mm	mm	WaterExtractedByCrops	WaterExtractedByCrops		
SafePlot	1	waterExtractedByInterCrops	mm	mm	waterExtractedByInterCrops	waterExtractedByInterCrops		
SafePlot	1	waterFromSaturation	mm	mm	WaterFromSaturation	WaterFromSaturation		
SafePlot	1	waterToDesaturation	mm	mm	WaterToDesaturation	WaterToDesaturation		
SafePlot	1	rainTransmitted	mm	mm	RainTransmitted	RainTransmitted		
SafePlot	1	drainage	mm	mm	Drainage	Drainage		
SafePlot	1	runOff	mm	mm	RunOff	RunOff		
SafePlot	1	qngrain	mm	mm	qngrain	qngrain		
SafePlot	1	qnplante	mm	mm	qnplante	qnplante		
SafePlot	1	cngrain	mm	mm	cngrain	cngrain		
SafePlot	1	cnplante	mm	mm	cnplante	cnplante		
SafePlot	1	surfaceRunOff	mm	mm	surfaceRunOff	surfaceRunOff		
SafePlot	1	parInterceptedByTrees	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByTrees	parInterceptedByTrees		
SafePlot	1	parInterceptedByCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByCrops	parInterceptedByCrops		
SafePlot	1	parInterceptedByCropsCompetFree	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByCropsCompetFree	parInterceptedByCropsCompetFree		
SafePlot	1	parInterceptedByTreesCompetFree	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parInterceptedByTreesCompetFree	parInterceptedByTreesCompetFree		
SafePlot	1	parIncident	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parIncident	parIncident	
SafePlot	1	parIncidentCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parIncidentCrops	parIncidentCrops
SafePlot	1	parIncidentInterCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	parIncidentInterCrops	parIncidentInterCrops	
SafePlot	1	cropWaterDemand	mm	mm	cropWaterDemand	cropWaterDemand		
SafePlot	1	cropWaterDemandReduced	mm	mm	cropWaterDemandReduced	cropWaterDemandReduced		
SafePlot	1	cropWaterPotential	cm	cm	cropWaterPotential	cropWaterPotential		
SafePlot	1	cropNitrogenDemand	kg.ha-1	kg.ha-1	cropNitrogenDemand	cropNitrogenDemand		
SafePlot	1	cropTotalRootLength	m	m	cropTotalRootLength	cropTotalRootLength		
SafePlot	1	cropSla	-	-	cropSla	cropSla		
SafePlot	1	cropGrainNumber	-	-	cropGrainNumber	cropGrainNumber		
SafePlot	1	cropGrainWeight	-	-	cropGrainWeight	cropGrainWeight		
SafePlot	1	cropPhenologicStage	-	-	cropPhenologicStage	cropPhenologicStage		
SafePlot	1	cropPlantDensity	-	-	cropPlantDensity	cropPlantDensity		
SafePlot	1	cropWaterStress	-	-	CropWaterStress	CropWaterStress		
SafePlot	1	cropSenescenceWaterStress	-	-	CropSenescenceWaterStress	CropSenescenceWaterStress		
SafePlot	1	cropTurgescenceWaterStress	-	-	CropTurgescenceWaterStress	CropTurgescenceWaterStress		
SafePlot	1	cropNitrogenStress	-	-	cropNitrogenStress	cropNitrogenStress		
SafePlot	1	cropTemperature	-	-	cropTemperature	cropTemperature		
SafePlot	1	cropRootDepth	-	-	cropRootDepth	cropRootDepth		
SafePlot	1	cropNitrogenLaiStress	-	-	cropNitrogenLaiStress	cropNitrogenLaiStress		
SafePlot	1	cropNitrogenBiomassStress	-	-	cropNitrogenBiomassStress	cropNitrogenBiomassStress		
SafePlot	1	cropNitrogenSenescenceStress	-	-	cropNitrogenSenescenceStress	cropNitrogenSenescenceStress		
SafePlot	1	nitrogenExtractedByCrops	kg/ha	kg/ha	nitrogenExtractedByCrops	nitrogenExtractedByCrops		
SafePlot	1	nitrogenExtractedByTrees	kg/ha	kg/ha	nitrogenExtractedByTrees	nitrogenExtractedByTrees				
SafePlot	1	tmax	-	-	Tmax	Tmax		
SafePlot	1	tmin	-	-	Tmin	Tmin		
SafePlot	1	nitrogenHumification	kg/ha	kg/ha	nitrogenHumification	nitrogenHumification		
SafePlot	1	carbonHumification	kg/ha	kg/ha	carbonHumification	carbonHumification		
SafePlot	1	cMicroorgVariation	kg/ha	kg/ha	cMicroorgVariation	cMicroorgVariation		
SafePlot	1	nMicroorgVariation	kg/ha	kg/ha	nMicroorgVariation	nMicroorgVariation		
SafePlot	1	nitrogenRain	kg/ha	kg/ha	nitrogenRain	nitrogenRain		
SafePlot	1	nitrogenIrrigation	kg/ha	kg/ha	nitrogenIrrigation	nitrogenIrrigation		
SafePlot	1	nitrogenFertilisation	kg/ha	kg/ha	nitrogenFertilisation	nitrogenFertilisation		
SafePlot	1	nitrogenFixation	kg/ha	kg/ha	nitrogenFixation	nitrogenFixation		
SafePlot	1	nitrogenHumusMineralisation	kg/ha	kg/ha	nitrogenHumusMineralisation	nitrogenHumusMineralisation		
SafePlot	1	qLeafLitter	kg/ha	kg/ha	Biomasse of leaf litter	Biomasse of leaf litter		
SafePlot	1	nLeafLitter	kg/ha	kg/ha	Nitrogen of leaf litter	Nitrogen of leaf litter		
SafePlot	1	leafLitterCn	-	-	Leaf litter C/N ratio	Leaf litter C/N ratio		
SafePlot	1	nminResCult	kg/ha	kg/ha	N mineralized from Crop Residus	N mineralized from Crop Residus		
SafePlot	1	nminLeaf	kg/ha	kg/ha	N mineralized from Leaf Litter	N mineralized from Leaf Litter		
SafePlot	1	nminFineroot	kg/ha	kg/ha	N mineralized from Fine Roots in ProfHum	N mineralized from Fine Roots in ProfHum		
SafePlot	1	nminCoarseroot	kg/ha	kg/ha	N mineralized from Coarse Roots in ProfHum	N mineralized from Coarse Roots in ProfHum		
SafePlot	1	nminTotal	kg/ha	kg/ha	N mineralized from All residus in ProfHum	N mineralized from All residus in ProfHum		
SafePlot	1	coarserootSenCn	-	-	Coarse Roots Litter C/N ratio	Coarse Roots Litter C/N ratio		
SafePlot	1	finerootSenCn	-	-	Fine Roots Litter C/N ratio	Fine Roots Litter C/N ratio		
SafePlot	1	nFineRootSenInProfHum	kg/ha	kg/ha	nFineRootSenInProfHum	nFineRootSenInProfHum		
SafePlot	1	nCoarseRootSenInProfHum	kg/ha	kg/ha	nCoarseRootSenInProfHum	nCoarseRootSenInProfHum		
SafePlot	1	qFineRootSenInProfHum	kg/ha	kg/ha	qFineRootSenInProfHum	qFineRootSenInProfHum		
SafePlot	1	qCoarseRootSenInProfHum	kg/ha	kg/ha	qCoarseRootSenInProfHum	qCoarseRootSenInProfHum		
SafePlot	1	totalCarbonFineRootSen	kg/ha	kg/ha	totalCarbonFineRootSen	totalCarbonFineRootSen		
SafePlot	1	totalNitrogenFineRootSen	kg/ha	kg/ha	totalNitrogenFineRootSen	totalNitrogenFineRootSen		
SafePlot	1	totalCarbonCoarseRootSen	kg/ha	kg/ha	totalCarbonCoarseRootSen	totalCarbonCoarseRootSen		
SafePlot	1	totalNitrogenCoarseRootSen	kg/ha	kg/ha	totalNitrogenCoarseRootSen	totalNitrogenCoarseRootSen		
SafePlot	1	nitrogenResiduMineralisation	kg/ha	kg/ha	nitrogenResiduMineralisation	nitrogenResiduMineralisation		
SafePlot	1	inactiveNitHumusStock	kg/ha	kg/ha	inactiveNitrogenHumusStock	inactiveNitrogenHumusStock		
SafePlot	1	nitrogenResidus	-	-	nitrogenResidus	nitrogenResidus		
SafePlot	1	carbonResidus	-	-	carbonResidus	carbonResidus		
SafePlot	1	carbonImmobilisation	-	-	carbonImmobilisation	carbonImmobilisation		
SafePlot	1	microorgBiomass	-	-	microorgBiomass	microorgBiomass		
SafePlot	1	nitrogenImmobilisation	-	-	nitrogenImmobilisation	nitrogenImmobilisation		
SafePlot	1	nitrogenDenitrification	kg/ha	kg/ha	nitrogenDenitrification	nitrogenDenitrification		
SafePlot	1	nitrogenExportation	t/ha	t/ha	nitrogenExportation	nitrogenExportation		
SafePlot	1	totalNitHumusStock	kg/ha	kg/ha	totalNitrogenHumusStock	totalNitrogenHumusStock		
SafePlot	1	nitrogenRestitution	t/ha	t/ha	nitrogenRestitution	nitrogenRestitution		
SafePlot	1	biomassRestitution	t/ha	t/ha	biomassRestitution	biomassRestitution		
SafePlot	1	nitrogenLixiviationSTICS	kg/ha	kg/ha	nitrogenLixiviationSTICS	nitrogenLixiviationSTICS		
SafePlot	1	nitrogenLixiviationTOTAL	kg/ha	kg/ha	nitrogenLixiviationTOTAL	nitrogenLixiviationTOTAL		
SafePlot	1	nitrogenOrganisation	kg/ha	kg/ha	nitrogenOrganisation	nitrogenOrganisation		
SafePlot	1	nitrogenVolatilisation	kg/ha	kg/ha	nitrogenVolatilisation	nitrogenVolatilisation		
SafePlot	1	nitrogenAmendement	kg/ha	kg/ha	nitrogenAmendement	nitrogenAmendement		
SafePlot	1	nitrogenAvalaibleForCrops	-	-	nitrogenAvalaibleForCrops	nitrogenAvalaibleForCrops		
SafePlot	1	mineralNitrogenStock	kg/ha	kg/ha	mineralNitrogenStock	mineralNitrogenStock		
SafePlot	1	activeNitHumusStock	kg/ha	kg/ha	activeNitrogenHumusStock	activeNitrogenHumusStock		
SafePlot	1	nitrateStock	kg/ha	kg/ha	nitrateStock	nitrateStock		
SafePlot	1	cropResiduCn	-	-	cropResidu C/N ratio	cropResidu C/N ratio		
SafePlot	1	totalCarbonHumusStock	t/ha	t/ha	totalCarbonHumusStock	totalCarbonHumusStock		
SafePlot	1	nminDeepRoots	kg/ha	kg/ha	nminDeepRoots	nminDeepRoots		
SafePlot	1	nRootSenStock	kg/ha	kg/ha	nRootSenStock	nRootSenStock		
SafePlot	1	annualWaterExtractedByTrees	mm	mm	annualWaterExtractedByTrees	annualWaterExtractedByTrees		
SafePlot	1	annualWaterExtractedByCrop	mm	mm	annualWaterExtractedByCrop	annualWaterExtractedByCrop		
SafePlot	1	annualWaterExtractedByInterCrop	mm	mm	annualWaterExtractedByInterCrop	annualWaterExtractedByInterCrop		
SafePlot	1	annualWaterEvaporatedInCrop	mm	mm	annualWaterEvaporatedInCrop	annualWaterEvaporatedInCrop		
SafePlot	1	annualWaterEvaporatedInInterCrop	mm	mm	annualWaterEvaporatedInInterCrop	annualWaterEvaporatedInInterCrop		
SafePlot	1	annualWaterFromSaturation	mm	mm	annualWaterFromSaturation	annualWaterFromSaturation		
SafePlot	1	annualWaterToDesaturation	mm	mm	annualWaterToDesaturation	annualWaterToDesaturation		
SafePlot	1	annualRainTransmitted	mm	mm	annualRainTransmitted	annualRainTransmitted		
SafePlot	1	annualRunOff	mm	mm	annualRunOff	annualRunOff		
SafePlot	1	annualSurfaceRunOff	mm	mm	annualSurfaceRunOff	annualSurfaceRunOff		
SafePlot	1	annualInterceptedRainByTrees	mm	mm	annualInterceptedRainByTrees	annualInterceptedRainByTrees		
SafePlot	1	annualInterceptedRainByCrops	mm	mm	annualInterceptedRainByCrops	annualInterceptedRainByCrops
SafePlot	1	annualInterceptedRainByInterCrops	mm	mm	annualInterceptedRainByInterCrops	annualInterceptedRainByInterCrops
SafePlot	1	annualDrainage	mm	mm	annualDrainage	annualDrainage		
SafePlot	1	annualWaterExtractedInSaturationByTrees	mm	mm	annualWaterExtractedInSaturationByTrees	annualWaterExtractedInSaturationByTrees		
SafePlot	1	annualWaterExtractedInSaturationByCrops	mm	mm	annualWaterExtractedInSaturationByCrops	annualWaterExtractedInSaturationByCrops		
SafePlot	1	annualWaterExtractedInSaturationByInterCrops	mm	mm	annualWaterExtractedInSaturationByInterCrops	annualWaterExtractedInSaturationByInterCrops		
SafePlot	1	annualParIncident	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Incident (annuel)	annualParIncident
SafePlot	1	annualParIncidentCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Incident cultures (annuel)	annualParIncidentCrops		
SafePlot	1	annualParIncidentInterCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Incident interculture (annuel)	annualParIncidentInterCrops		
SafePlot	1	annualParInterceptedByTrees	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Intercepté par les arbres (annuel)	annualParInterceptedByTrees		
SafePlot	1	annualParInterceptedByCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Intercepté par les cultures (annuel)	annualParInterceptedByCrops		
SafePlot	1	annualParInterceptedByInterCrops	mol.(m2 of plot)-1	mol.(m2 of plot)-1	Par Intercepté par interculture (annuel)	annualParInterceptedByInterCrops		
SafePlot	1	annualTreesCarbonBranches	kg	kg	annualTreesCarbonBranches	annualTreesCarbonBranches		
SafePlot	1	annualTreesCarbonCoarseRoots	kg	kg	annualTreesCarbonCoarseRoots	annualTreesCarbonCoarseRoots		
SafePlot	1	annualTreesCarbonFineRoots	kg	kg	annualTreesCarbonFineRoots	annualTreesCarbonFineRoots		
SafePlot	1	annualTreesCarbonLabile	kg	kg	annualTreesCarbonLabile	annualTreesCarbonLabile				
SafePlot	1	annualTreesCarbonStem	kg	kg	annualTreesCarbonStem	annualTreesCarbonStem		
SafePlot	1	maxTreesCarbonFoliage	kg	gk	maxTreesCarbonFoliage	maxTreesCarbonFoliage		
SafePlot	1	maxTreesLeafArea	-	-	maxTreesLeafArea	maxTreesLeafArea
SafePlot	1	treeHeight	m	m	Hauteur arbres	Tree height
SafePlot	1	treeDbh	m	m	Tree diameter	Tree diameter	
SafePlot	1	cropFtemp	-	-	cropFtemp	cropFtemp
SafePlot	1	cropFtempremp	-	-	cropFtempremp	cropFtempremp	
SafeTree	33	aboveGroundCFraction	 -	 -	aboveGroundCFraction	bh-aboveGroundCFraction		
SafeTree	21	actualWaterPotential	cm	cm	Potentiel arbre	av-tree potential		
SafeTree	56	captureFactorForDiffusePar	m	m	captureFactorForDiffusePar	ce-captureFactorForDiffusePar		
